# Cross-series bitGANs attribute catalogue, transcribed from the artist Pindar Van Arman's
# own published journal page. 513 rows, columns Number,Title,Name,GANg,SubType,Type,Eyes,
# Dimensions,Essence,Drop,Level. This table spans several of the artist's NFT series; only
# 8 of its 513 rows belong to the cryptoArtGAN / Act 1 series that holds this puzzle's prize
# (GANg column == 'cryptoArtGAN'), so any count taken from this file alone is scoped to the
# catalogue, not to the 512-piece Act 1 series specifically. See the README for detail.
Number,Title,Name,GANg,SubType,Type,Eyes,Dimensions,Essence,Drop,Level
124,Twin Ghost skullGAN,,skullGAN,Twin,Ghost,4,4,author,skullGANs,1
125,Flaming Ghost skullGAN,,skullGAN,Flaming,Ghost,4,4,auto,skullGANs,1
126,Flaming skullGAN,,skullGAN,Flaming,Skull,2,3,autumn,skullGANs,1
127,Flaming Glitch skullGAN,,skullGAN,Flaming,Glitch,3,4,average,skullGANs,1
128,RainbowShimmer skullGAN,,skullGAN,Rainbow,Shimmer,2,3,avocado,skullGANs,1
0,RoboboR (000000),RoboboR,nagaGAN,Deified,Reifier,2,8,alpha,2021.9.29.1202,1
1,qubitGAN (000001),,qubitGAN,Quantum,Mechanic,2,8,quantum,2021.9.29.1202,1
10,B1-b0rg cyberGAN (000010),,cyberGAN,Binary,Cyborg,0,4,blind,2021.9.29.1202,1
11,Twinbot roboGAN (000011),,roboGAN,Twins,Bot,4,4,brother,2021.9.29.1202,1
100,Cyber cryptoGAN (000100),,cryptoGAN,Cyber,Smoke,2,4,math,2021.9.29.1202,1
101,Rainbot roboGAN (000101),,roboGAN,Rainbow,Bot,2,4,rain,2021.9.29.1202,1
110,Primordial roboGAN (000110),,roboGAN,Primordial,Ghost,4,4,ghost,2021.9.29.1202,1
111,G1itch1ng roboGAN (000111),,roboGAN,Binary,Glitch,4,4,dance,2021.9.29.1202,1
1000,B1-b0rg cyberGAN (001000),,cyberGAN,Binary,Cyborg,0,4,eight,2021.9.29.1202,1
1001,Cyber cryptoGAN (001001),,cryptoGAN,Cyber,Smoke,2,4,only,2021.9.29.1202,1
1010,Twinbot roboGAN (001010),,roboGAN,Twins,Bot,2,4,echo,2021.9.29.1202,1
1011,G1itch1ng roboGAN (001011),,roboGAN,Rainbow,Glitch,2,4,eye,2021.9.29.1202,1
1100,Dr Awkward (001100),Dr Awkward,nagaGAN,Deified,Kook,2,8,awkward,2021.9.29.1202,1
1101,G1itch1ng cryptoGAN (001101),,cryptoGAN,Binary,Glitch,2,4,flip,2021.9.29.1202,1
1110,Shimmering cryptoGAN (001110),,cryptoGAN,Cyber,Shimmer,2,4,problem,2021.9.29.1202,1
1111,Flaming cryptoGAN (001111),,cryptoGAN,Flaming,Ghost,2,4,flame,2021.9.29.1202,1
10000,S1-b0rg cyberGAN (010000),,cyberGAN,Silver,Cyborg,0,4,silver,2021.9.29.1202,1
10001,G1itch1ng roboGAN (010001),,roboGAN,Primordial,Glitch,4,4,hollow,2021.9.29.1202,1
10010,Taco Cat (010010),Taco Cat,nagaGAN,Deified,Rotator,2,4,cat,2021.9.29.1202,1
10011,G1itch1ng cryptoGAN (010011),,cryptoGAN,Cyber,Glitch,2,4,hint,2021.9.29.1202,1
10100,Silverbot roboGAN (010100),,roboGAN,Silver,Bot,2,4,ice,2021.9.29.1202,1
10101,Firebot roboGAN (010101),,roboGAN,Flaming,Bot,4,4,fire,2021.9.29.1202,1
10110,Rainbot roboGAN (010110),,roboGAN,Rainbow,Bot,2,4,satoshi,2021.9.29.1202,1
10111,Slender roboGAN (010111),,roboGAN,Slender,Glitch,4,4,jump,2021.9.29.1202,1
11000,Cyber cryptoGAN (011000),,cryptoGAN,Cyber,Bot,4,4,puzzle,2021.9.29.1202,1
11001,Smokebot CyberGAN (011001),,roboGAN,Rainbow,Smoke,2,4,smoke,2021.9.29.1202,1
11010,Rainbot roboGAN (011010),,roboGAN,Rainbow,Bot,2,4,color,2021.9.29.1202,1
11011,Flaming roboGAN (011011),,roboGAN,Flaming,Ghost,4,4,lava,2021.9.29.1202,1
11100,Bit-Twins roboGAN (011100),,roboGAN,Binary,Twins,4,4,lonely,2021.9.29.1202,1
11101,G1itch1ng cryptoGAN (011101),,cryptoGAN,Cyber,Glitch,4,4,that,2021.9.29.1202,1
11110,Dog God (011110),Dog God,nagaGAN,Deified,Pup,2,4,dog,2021.9.29.1202,1
11111,Slender roboGAN (011111),,roboGAN,Slender,Glitch,4,4,slender,2021.9.29.1202,1
100000,Cyber skullGAN (100000),,skullGAN,Cyber,Skull,4,8,news,2021.9.29.1202,1
100001,Star Rats (100001),Star Rats,nagaGAN,Dixid,Reviver,4,4,twin,2021.9.29.1202,1
100010,Cyber cryptoGAN (100010),,cryptoGAN,Cyber,Ghost,2,4,time,2021.9.29.1202,1
100011,Flamebot roboGAN (100011),,roboGAN,Flaming,Bot,2,4,orange,2021.9.29.1202,1
100100,Cyber cryptoGAN (100100),,cryptoGAN,Cyber,Smoke,2,4,spirit,2021.9.29.1202,1
100101,Rainbot roboGAN (100101),,roboGAN,Rainbow,Glitch,4,4,pink,2021.9.29.1202,1
100110,Rainbot roboGAN (100110),,roboGAN,Rainbow,Bot,2,4,pumpkin,2021.9.29.1202,1
100111,Shimmering cryptoGAN (100111),,cryptoGAN,Cyber,Shimmer,4,4,hidden,2021.9.29.1202,1
101000,Ghostbot roboGAN (101000),,roboGAN,Slender,Ghost,4,4,unlock,2021.9.29.1202,1
101001,G1itchb0t roboGAN (101001),,roboGAN,Raibow,Glitch,2,4,quiz,2021.9.29.1202,1
101010,Rainbot roboGAN (101010),,roboGAN,Rainbow,Bot,2,4,zebra,2021.9.29.1202,1
101011,G1itchb0t roboGAN (101011),,roboGAN,Rainbow,Glitch,2,4,robot,2021.9.29.1202,1
101100,Cyber cryptoGAN (101100),,cryptoGAN,Cyber,Ghost,2,4,worry,2021.9.29.1202,1
101101,Evil Olive  (101101),Evil Olive,nagaGAN,Dioid,Reifier,2,4,olive,2021.9.29.1202,1
101110,Rainbot skullGan (101110),,skullGAN,Raibow,Skull,2,4,skull,2021.9.29.1202,1
101111,Slenderbot roboGAN (101111),,roboGAN,Slender,Glitch,2,4,three,2021.9.29.1202,1
110000,Rainbot roboGAN (110000),,roboGAN,Rainbow,Bot,4,4,twelve,2021.9.29.1202,1
110001,Cyber cryptoGAN (110001),,cryptoGAN,Cyber,Smoke,2,4,this,2021.9.29.1202,1
110010,Ghostbot roboGAN (110010),,roboGAN,Rainbow,Ghost,4,4,under,2021.9.29.1202,1
110011,Flow Wolf (110011),Flow Wolf,nagaGAN,Sus,Pup,2,4,wolf,2021.9.29.1202,1
110100,Rainbot roboGAN (110100),,roboGAN,Rainbow,Bot,4,4,vault,2021.9.29.1202,1
110101,G1itchb0t roboGAN (110101),,roboGAN,Rainbow,Glitch,2,4,virus,2021.9.29.1202,1
110110,Cyber cryptoGAN (110110),,cryptoGAN,Cyber,Bot,2,4,word,2021.9.29.1202,1
110111,Flamebot roboGAN (110111),,roboGAN,Flaming,Bot,2,4,warm,2021.9.29.1202,1
111000,Cyber cryptoGAN (111000),,cryptoGAN,Cyber,Bot,2,4,digital,2021.9.29.1202,1
111001,Ghostbot cryptoGAN (111001),,cryptoGAN,Flaming,Ghost,2,4,endless,2021.9.29.1202,1
111010,Cyber skullGAN (111010),,skullGAN,Cyber,Skull,4,4,mirror,2021.9.29.1202,1
111011,G1itch1ng cryptoGAN (111011),,cryptoGAN,Cyber,Glitch,4,4,pattern,2021.9.29.1202,1
111100,Rainbot roboGAN (111100),,roboGAN,Rainbow,Bot,2,4,blue,2021.9.29.1202,1
111101,Primordial roboGAN (111101),,roboGAN,Primordial,Glitch,4,4,primary,2021.9.29.1202,1
111110,Cyber skullGAN (111110),,skullGAN,Cyber,Skull,4,4,err0r,2021.9.29.1202,1
111111,CalcuclaC (111111),CalcuclaC,nagaGAN,Tenet,Reifier,8,4,zero,2021.9.29.1202,1
0o0,Ghostly spookyGAN (0o0),,spookyGAN,Rainbow,Ghost,2,4,glue,2021.10.17,1
0o1,8bit spookyGAN  (0o1),,spookyGAN,Rainbow,Sprite,4,5,goat,2021.10.17,1
0o2,Anonymous spookyGAN (0o2),,spookyGAN,Anonymous,Monster,0,3,goddess,2021.10.17,1
0o3,Ghostly spookyGAN (0o3),,spookyGAN,Rainbow,Ghost,2,4,gold,2021.10.17,1
0o4,Pirate spookyGAN (0o4),,spookyGAN,Rainbow,Zombie,1,4,good,2021.10.17,1
0o5,Pumpkin spookyGAN (0o5),,spookyGAN,Flaming,Ghost,2,5,goose,2021.10.17,1
0o6,Mummy spookyGAN (0o6),,spookyGAN,Primordial,Ghost,2,4,gorilla,2021.10.17,1
0o7,Count spookyGAN (0o7),,spookyGAN,Primordial,Glitch,3,4,gospel,2021.10.17,1
0o10,Ghostly spookyGAN (0o10),,spookyGAN,Rainbow,Ghost,2,3,gossip,2021.10.17,1
0o11,Masked spookyGAN  (0o11),,spookyGAN,Nebulous,Monster,4,4,govern,2021.10.17,1
0o12,Friendly Clown spookyGAN  (0o12),,spookyGAN,Rainbow,Zombie,2,3,gown,2021.10.17,1
0o13,Angry Clown spookyGAN  (0o13),,spookyGAN,Flaming,Zombie,3,4,grab,2021.10.17,1
0o14,Flaming spookyGan (0o14),,spookyGAN,Flaming,Cronenberg,4,4,grace,2021.10.17,1
0o15,Skullbot spookyGAN (0o15),,spookyGAN,Skull,Bot,4,5,grain,2021.10.17,1
0o16,Monster spookyGAN  (0o16),,spookyGAN,Nebulous,Monster,3,3,grant,2021.10.17,1
0o17,Ghostly spookyGAN  (0o17),,spookyGAN,Flaming,Ghost,2,4,grape,2021.10.17,1
209,Solar skullGAN (#209),Sol,skullGAN,Ethereal,Skull,2,6,avoid,2021.12.21.1202,1
210,Ghostly noohpGAN (#210),,bitGAN,Frozen,Ghost,3,5,awake,2021.12.21.1202,1
211,Glitch mazzoneGAN (#211),,bitGAN,Frozen,Glitch,3,4,aware,2021.12.21.1202,1
212,Ethereal monsterGAN (#212),,monsterGAN,Ethereal,Monster,6,5,away,2021.12.21.1202,1
213,Inverted bitGAN (#213),,bitGAN,Inverted,Bit,3,3,awesome,2021.12.21.1202,1
214,Ethereal bitGAN (#214),,bitGAN,Ethereal,Bit,4,5,awful,2021.12.21.1202,1
215,Primordial bitGAN (#215),,bitGAN,Primordial,Monster,3,4,axis,2021.12.21.1202,1
216,Slender bitGAN (#216),,bitGAN,Slender,Bit,2,3,baby,2021.12.21.1202,1
217,Entangled cronenGAN (#217),,cronenGAN,Entangled,Cronenberg,4,5,bachelor,2021.12.21.1202,1
218,Glowing bitGAN (#218),,bitGAN,Glowing,Bit,3,5,bacon,2021.12.21.1202,1
219,Slender bitGAN (#219),,bitGAN,Slender,Bit,5,5,badge,2021.12.21.1202,1
220,Glowing bitGAN (#220),,bitGAN,Glowing,Bit,4,4,bag,2021.12.21.1202,1
221,Ethereal bitGAN (#221),,bitGAN,Ethereal,Bit,4,6,balance,2021.12.21.1202,1
222,Entangled bitGAN (#222),,bitGAN,Entangled,Bit,4,6,balcony,2021.12.21.1202,1
223,Slender bitGAN (#223),,bitGAN,Slender,Bit,3,4,ball,2021.12.21.1202,1
224,Rainbow bitGAN (#224),,bitGAN,Rainbow,Bit,3,4,bamboo,2021.12.21.1202,1
225,Glowing cronenGAN (#225),,cronenGAN,Glowing,Cronenberg,4,5,banana,2021.12.21.1202,1
226,Entangled bitGAN (#226),,bitGAN,Entangled,Bit,5,4,banner,2021.12.21.1202,1
227,Glowing bitGAN (#227),,bitGAN,Glowing,Bit,5,4,bar,2021.12.21.1202,1
228,Kevin aboschGAN (#228),Kevin aboschGAN,cryptoArtGAN,Crypto,Artist,4,6,barely,2021.12.21.1202,1
229,Vivid bitGAN (#229),,bitGAN,Vivid,Bit,3,4,bargain,2021.12.21.1202,1
230,Inverted bitGAN (#230),,bitGAN,Inverted,Bit,2,4,barrel,2021.12.21.1202,1
231,Frozen glitchGAN (#231),,glitchGAN,Frozen,Glitch,3,5,base,2021.12.21.1202,1
232,Frozen bitGAN (#232),,bitGAN,Frozen,Bit,3,5,basic,2021.12.21.1202,1
233,Cloudy bitGAN (#233),,bitGAN,Ethereal,Cloud,5,5,basket,2021.12.21.1202,1
234,Frozen bitGAN (#234),,bitGAN,Frozen,Bit,3,4,battle,2021.12.21.1202,1
235,Ghostly bitGAN (#235),,bitGAN,Entangled,Ghost,5,6,beach,2021.12.21.1202,1
236,Vivid bitGAN (#236),,bitGAN,Vivid,Bit,2,4,beauty,2021.12.21.1202,1
237,Ethereal bitGAN (#237),,bitGAN,Ethereal,Bit,3,4,because,2021.12.21.1202,1
238,Glowing Smoke bitGAN (#238),,bitGAN,Glowing,Smoke,4,5,become,2021.12.21.1202,1
239,Inverted monsterGAN (#239),,monsterGAN,Inverted,Monster,6,6,beef,2021.12.21.1202,1
240,Glowing bitGAN (#240),,bitGAN,Glowing,Bit,3,5,before,2021.12.21.1202,1
241,Glowing bitGAN (#241),,bitGAN,Glowing,Bit,2,4,begin,2021.12.21.1202,1
242,Ethereal bitGAN (#242),,bitGAN,Ethereal,Cloud,5,5,behave,2021.12.21.1202,1
243,Glowing bitGAN (#243),,bitGAN,Glowing,Bit,3,4,behind,2021.12.21.1202,1
244,Entangled glitchGAN (#244),,glitchGAN,Entangled,Glitch,4,5,believe,2021.12.21.1202,1
245,Slender bitGAN (#245),,bitGAN,Slender,Bit,5,5,below,2021.12.21.1202,1
246,Hacka taoGAN (#246),Hacka taoGAN,cryptoArtGAN,Crypto,Artist,3,6,belt,2021.12.21.1202,1
247,Frozen bitGAN (#247),,bitGAN,Frozen,Bit,2,4,bench,2021.12.21.1202,1
248,Frozen bitGAN (#248),,bitGAN,Frozen,Bit,3,5,benefit,2021.12.21.1202,1
249,Ethereal bitGAN (#249),,bitGAN,Ethereal,Bit,3,5,best,2021.12.21.1202,1
250,Ghostly bitGAN (#250),,bitGAN,Vivid,Ghost,2,5,betray,2021.12.21.1202,1
251,Vivid bitGAN (#251),,bitGAN,Vivid,Bit,3,4,better,2021.12.21.1202,1
252,Glowing bitGAN (#252),,bitGAN,Glowing,Bit,2,4,between,2021.12.21.1202,1
253,Ethereal bitGAN (#253),,bitGAN,Ethereal,Bit,3,5,beyond,2021.12.21.1202,1
254,Glowing Smoke bitGAN (#254),,bitGAN,Glowing,Smoke,4,5,bicycle,2021.12.21.1202,1
